ID;Famille;Lot;Statut actuel;Quantité / variantes;Jalon;Priorité;Dépendances et usage;Livrables attendus;Validation
CHR-01;Personnages;Habitant de référence et rig;"Référence et rig validés ; variantes à compléter";1 corps + 1 rig + 3 visages;J0-J2;P0;Échelle, capsule, points main/dos/tête;"Source Blender ; GLB ; rig ; clips ; textures ; LOD ; attaches ; licence";"Échelle, transitions et silhouette validées ; pas de glissement de pieds ; intégration navigation"
CHR-02;Personnages;Variantes de métiers;À créer;6 palettes + 4 accessoires + 3 sacs;J3-J4;P1;"Rig CHR-01 ; silhouettes distinctes";"Source Blender ; GLB ; rig ; clips ; textures ; LOD ; attaches ; licence";"Échelle, transitions et silhouette validées ; pas de glissement de pieds ; intégration navigation"
CHR-03;Personnages;Locomotion;"Marche, repos, portage et pivots intégrés ; course à créer";5 animations + transitions;J2;P0;Rig et vitesse réelle de navigation;"Source Blender ; GLB ; rig ; clips ; textures ; LOD ; attaches ; licence";"Échelle, transitions et silhouette validées ; pas de glissement de pieds ; intégration navigation"
CHR-04;Personnages;Travail et manipulation;"Prise, dépôt et fabrication intégrés ; réparation à créer";5 animations interruptibles;J2-J3;P0;Contrat de tâches et attaches de charge;"Source Blender ; GLB ; rig ; clips ; textures ; LOD ; attaches ; licence";"Échelle, transitions et silhouette validées ; pas de glissement de pieds ; intégration navigation"
CHR-05;Personnages;Besoins, blessures et danger;"Sommeil, repas et boisson intégrés ; blessures et peur à créer";7 animations + transitions;J4-J5;P1;Besoins, soin et règles de mortalité;"Source Blender ; GLB ; rig ; clips ; textures ; LOD ; attaches ; licence";"Échelle, transitions et silhouette validées ; pas de glissement de pieds ; intégration navigation"
CHR-06;Personnages;Traversées et entraide;"Échelle intégrée ; entraide et passage étroit à créer";4 séquences;J3-J5;P1;Liens de navigation et coordination à deux;"Source Blender ; GLB ; rig ; clips ; textures ; LOD ; attaches ; licence";"Échelle, transitions et silhouette validées ; pas de glissement de pieds ; intégration navigation"
FAU-01;Faune;Fourmi;À créer;1 rig + 2 variantes + 5 actions;J3;P0;Piste, transport et défense locale;"Source Blender ; GLB ; rig ; clips ; textures ; LOD ; attaches ; licence";"Échelle, transitions et silhouette validées ; pas de glissement de pieds ; intégration navigation"
FAU-02;Faune;Araignée;À créer;1 rig + 2 tailles + 5 actions;J5;P1;Toile active et perception vibratoire;"Source Blender ; GLB ; rig ; clips ; textures ; LOD ; attaches ; licence";"Échelle, transitions et silhouette validées ; pas de glissement de pieds ; intégration navigation"
FAU-03;Faune;Souris;À créer;1 rig + 2 matières + 6 actions;J5;P1;Territoire, reniflement et fuite;"Source Blender ; GLB ; rig ; clips ; textures ; LOD ; attaches ; licence";"Échelle, transitions et silhouette validées ; pas de glissement de pieds ; intégration navigation"
FAU-04;Faune;Rat;À créer;1 variante adaptée + 6 actions;J6;P2;Fonction différente de la souris à valider;"Source Blender ; GLB ; rig ; clips ; textures ; LOD ; attaches ; licence";"Échelle, transitions et silhouette validées ; pas de glissement de pieds ; intégration navigation"
FAU-05;Faune;Cloporte et cafard;Option à confirmer;2 rigs + 4 actions chacun;J6+;P2;"Humidité et pillage ; priorité après J3";"Source Blender ; GLB ; rig ; clips ; textures ; LOD ; attaches ; licence";"Échelle, transitions et silhouette validées ; pas de glissement de pieds ; intégration navigation"
ENV-01;Environnement;Kit bois sous-plancher;Prototype à reprendre;6 planches + 3 poutres;J0-J3;P0;Scène étalon, UV et usure;"Source Blender ; GLB ; textures ; collisions utiles ; points interaction ; variantes ; licence";"Échelle et pivots ; UV ; collision ; accès ; états ; coût mesuré dans scène étalon"
